carat,depth,x,y,z,color_E,color_F,color_G,color_H,color_I,color_J
2.36,60.8,8.68,8.57,5.24,0,0,0,0,1,0
2.04,62.0,8.18,8.23,5.09,0,0,0,1,0,0
0.51,61.7,5.18,5.19,3.2,0,0,0,0,1,0
0.3,61.3,4.32,4.33,2.65,0,0,0,0,1,0
0.96,68.8,6.11,5.98,4.16,0,0,0,1,0,0
0.51,62.6,5.12,5.1,3.2,0,0,1,0,0,0
0.3,62.9,4.32,4.3,2.71,0,0,1,0,0,0
1.02,59.2,6.52,6.56,3.87,0,0,1,0,0,0
0.32,61.4,4.43,4.46,2.73,0,1,0,0,0,0
1.13,61.3,6.77,6.67,4.12,0,0,0,0,0,1
1.03,62.4,6.39,6.47,4.01,0,0,1,0,0,0
1.03,63.7,6.35,6.28,4.02,0,0,1,0,0,0
0.27,61.6,4.12,4.16,2.55,1,0,0,0,0,0
0.4,61.9,4.74,4.73,2.93,1,0,0,0,0,0
0.9,63.0,6.13,6.1,3.85,0,0,0,1,0,0
1.41,61.6,7.19,7.22,4.44,0,0,0,0,0,1
0.71,62.4,5.72,5.76,3.58,0,0,1,0,0,0
0.5,61.2,5.13,5.1,3.13,0,0,1,0,0,0
0.7,60.0,5.73,5.83,3.47,0,1,0,0,0,0
2.07,61.2,8.18,8.2,5.01,0,0,0,0,1,0
1.01,62.1,6.38,6.43,3.98,0,0,0,1,0,0
1.13,60.9,6.75,6.72,4.1,0,0,1,0,0,0
1.32,62.8,6.94,7.0,4.38,0,0,0,1,0,0
0.4,61.1,4.75,4.78,2.97,1,0,0,0,0,0
0.57,60.7,5.38,5.33,3.25,0,1,0,0,0,0
0.37,61.1,4.64,4.66,2.84,0,0,0,0,0,0
0.7,60.1,5.77,5.74,3.46,1,0,0,0,0,0
0.28,61.4,4.18,4.22,2.58,1,0,0,0,0,0
0.5,63.4,5.06,5.1,3.22,0,0,1,0,0,0
1.01,63.3,6.32,6.27,3.99,0,0,0,1,0,0
1.0,61.2,6.32,6.36,3.88,0,0,0,1,0,0
0.3,61.0,4.34,4.38,2.66,1,0,0,0,0,0
1.23,63.0,6.78,6.72,4.27,0,0,0,1,0,0
