carat,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
2.36,54.0,8.68,8.57,5.24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2.04,56.0,8.18,8.23,5.09,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.51,54.0,5.18,5.19,3.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,56.0,4.32,4.33,2.65,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.96,56.0,6.11,5.98,4.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.51,57.0,5.12,5.1,3.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,55.0,4.32,4.3,2.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.02,57.0,6.52,6.56,3.87,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,55.0,4.43,4.46,2.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.13,59.0,6.77,6.67,4.12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.03,57.0,6.39,6.47,4.01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.03,60.0,6.35,6.28,4.02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.27,57.0,4.12,4.16,2.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4,54.0,4.74,4.73,2.93,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9,59.0,6.13,6.1,3.85,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.41,56.0,7.19,7.22,4.44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.71,54.0,5.72,5.76,3.58,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,56.0,5.13,5.1,3.13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.7,62.0,5.73,5.83,3.47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.07,58.0,8.18,8.2,5.01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.01,59.0,6.38,6.43,3.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.13,58.0,6.75,6.72,4.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.32,56.0,6.94,7.0,4.38,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.4,57.0,4.75,4.78,2.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.57,59.0,5.38,5.33,3.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.37,56.0,4.64,4.66,2.84,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,62.0,5.77,5.74,3.46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.28,60.0,4.18,4.22,2.58,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,57.0,5.06,5.1,3.22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,57.0,6.32,6.27,3.99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,62.0,6.32,6.36,3.88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.3,56.0,4.34,4.38,2.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.23,55.0,6.78,6.72,4.27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.3,57.0,4.28,4.31,2.65,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9,57.0,6.05,6.01,3.95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.34,59.0,4.55,4.61,2.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,56.0,4.24,4.27,2.68,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.71,56.0,5.65,5.75,3.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.8,55.0,5.86,5.89,3.73,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.31,56.0,4.36,4.4,2.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.41,58.0,4.8,4.76,2.93,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,54.0,5.78,5.84,3.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.71,58.0,5.72,5.66,3.54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.24,55.0,6.9,6.87,4.27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9,58.0,6.14,6.18,3.81,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.72,56.0,5.75,5.78,3.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.51,63.0,7.2,7.17,4.59,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.57,58.0,5.32,5.29,3.31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.1,57.0,6.58,6.54,4.08,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.26,55.0,4.1,4.17,2.54,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,56.0,5.66,5.6,3.48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.32,57.0,4.34,4.38,2.73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.52,58.0,7.26,7.34,4.53,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.71,56.0,5.77,5.83,3.53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.31,60.0,7.06,7.16,4.24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.04,58.0,6.55,6.51,4.04,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,54.0,4.3,4.33,2.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,61.0,4.4,4.44,2.73,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.09,59.0,6.56,6.53,4.09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,56.0,6.46,6.36,4.02,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,58.0,6.33,6.31,3.96,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.3,57.0,4.26,4.29,2.67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.18,60.0,8.24,8.29,5.12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.35,57.0,7.09,7.13,4.36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
